Producto buscado,Nombre,Unidad,Cantidad,Precio,Precio_por_unidad,Promedio_categoria_supermercado,Supermercado
Aceite ,Aceite Comestible Vegetal 1-2-3 1 lt,lt,1.0,36.9,36.9,12.33,Soriana
Aceite ,Aceite Vegetal Precíssimo,ml,850.0,28.9,0.034,12.33,Soriana
Aceite ,Aceite Vegetal Nutrioli,ml,850.0,43.9,0.0516,12.33,Soriana
Arroz ,Arroz Valley Foods súper extra,g,900.0,17.5,0.0194,0.02,Soriana
Arroz ,Arroz Extra Precíssimo,g,900.0,19.5,0.0217,0.02,Soriana
Arroz ,Arroz Schettino Super Extra Bol 900gr,g,900.0,25.9,0.0288,0.02,Soriana
Atún,Ensalada de Atún Sin Mayonesa Valley Foods,g,135.0,19.9,0.1474,0.14,Soriana
Atún,Ensalada de Atún con Mayonesa Valley Foods,g,135.0,23.9,0.177,0.14,Soriana
Atún,Atún en Agua Precíssimo,g,130.0,12.0,0.0923,0.14,Soriana
Azúcar morena,Azúcar Mascabado Zulka 500 Gr,g,500.0,33.5,0.067,26.95,Soriana
Azúcar morena,Metco Azucar Mascabado Genuino,g,200.0,31.0,0.155,26.95,Soriana
Azúcar morena,Azúcar Mascabado Metco,kg,1.4,112.9,80.6429,26.95,Soriana
Bistec de res,Bisteck Estrella de Res Rancho Don Francisco Selecta Kg,kg,1.0,184.0,184.0,219.0,Soriana
Bistec de res,Bisteck de Res Tampiqueña Rancho Don Francisco Selecta Kg,kg,1.0,269.0,269.0,219.0,Soriana
Bistec de res,Bisteck/Chuleta del 0 de Res Rancho Don Francisco Selecta Kg,kg,1.0,204.0,204.0,219.0,Soriana
Cebolla ,Cebolla blanca Kg,kg,1.0,36.0,36.0,31.8,Soriana
Cebolla ,Cebolla Amarilla Kg,kg,1.0,23.9,23.9,31.8,Soriana
Cebolla ,Cebolla Morada Kg,kg,1.0,35.5,35.5,31.8,Soriana
Chile jalapeño,Chile Jalapeño Cuaresmeño Kg,kg,1.0,30.9,30.9,10.34,Soriana
Chile jalapeño,Rajas De Chiles Jalapeños En Escabeche Clemente Jacques 220 gr,g,220.0,12.5,0.0568,10.34,Soriana
Chile jalapeño,Chiles Jalapeños En Escabeche Enteros Clemente Jacques 220 gr,g,220.0,13.8,0.0627,10.34,Soriana
Chuleta de puerco,Chuleta de Lomo de Cerdo Ahumada Kg,kg,1.0,142.9,142.9,128.63,Soriana
Chuleta de puerco,Chuleta de Cerdo Fresca Kg,kg,1.0,135.0,135.0,128.63,Soriana
Chuleta de puerco,Chuleta Mixta de Lomo de Cerdo Kg,kg,1.0,108.0,108.0,128.63,Soriana
Frijol,Frijol Pinto Precíssimo,g,908.0,28.8,0.0317,0.04,Soriana
